Name;Author;Url;PreparationTime;Portions
Camarones en Salsa de Anís;Gourmet;https://www.gourmet.cl/recetas/camarones-en-salsa-de-anis/;30;4 
Jamón de Pavo Acaramelado con Clavos de Olor;Gourmet;https://www.gourmet.cl/recetas/jamon-de-pavo-acaramelado-con-clavos-de-olor/;60;4
Roast Beef;Gourmet;https://www.gourmet.cl/recetas/roastbeef-con-mostaza-y-mix-de-pimientas/;60;4
Tataki de Res en Costra de Hierbas;Gourmet;https://www.gourmet.cl/recetas/tataki-de-res-en-costra-de-hierbas/;90;4 
Pastel de Pescado;Gourmet;https://www.gourmet.cl/recetas/pastel-de-pescado/;60;4 
Crema de Zapallo Italiano al Cardamomo con...;Gourmet;https://www.gourmet.cl/recetas/crema-de-zapallo-italiano-al-cardamomo-con.../;30;4 
Wrap de Pollo al Cardamomo;Gourmet;https://www.gourmet.cl/recetas/wrap-de-pollo-al-cardamomo/;60;5 
Crema de Lentejas al Curry;Gourmet;https://www.gourmet.cl/recetas/crema-de-lentejas-al-curry/;45;4 
Curry de Pollo con Pan Indio;Gourmet;https://www.gourmet.cl/recetas/curry-de-pollo-con-nan-pan-indio/;50;4 
Ostiones a la Parmesana;Gourmet;https://www.gourmet.cl/recetas/ostiones-a-la-parmesana/;30;6 
Mousse de Atún con ensalada de Tomates;Gourmet;https://www.gourmet.cl/recetas/vasitos-de-mousse-de-atun-con-ensalada-de-tomates/;80;10 
Terrina de Verduras Asadas;Gourmet;https://www.gourmet.cl/recetas/terrina-de-vegetales-asados/;60;8 
Mousse de Atún al Eneldo;Gourmet;https://www.gourmet.cl/recetas/mousse-de-atun-al-eneldo/;;4 
Ceviche de Reineta y Camarones;Gourmet;https://www.gourmet.cl/recetas/cebiche-de-reineta-y-camarones/;20;10 
Quiche de Cebolla y Ricotta;Gourmet;https://www.gourmet.cl/recetas/quiche-de-cebolla-y-ricotta/;65;6 
Tortilla Gourmet;Gourmet;https://www.gourmet.cl/recetas/tortilla-gourmet/;;
Wrap de Pollo;Gourmet;https://www.gourmet.cl/recetas/wrap-de-pollo/;;
Wrap de Atún;Gourmet;https://www.gourmet.cl/recetas/wrap-de-atun/;20;1
Tortilla de Papas;Gourmet;https://www.gourmet.cl/recetas/tortilla-de-papas/;20;4 
